running ID,Niskin_Id,grouping_col,Event,Latitude,Longitude,Bottle,Date,Potemp090C,Potemp190C,PrDM,DepSM,T090C,T190C,Sal00,Sal11,Sbeox0_umol/L,Sbeox1_umol/L,FlECO-AFL,Spalte1,Depth_(m),Fix_Temp_C,C(O2)_umol/L,Flag,Fix_Temp_C_dup,C(O2)_umol/L_dup,Flag_dup,NO3+NO2_mean,QF,NO3+NO2_std,QF.1,NO3+NO2_CF,QF.2,NO3+NO2_c_mean,QF.3,NO3+NO2_c_std,QF.4,NO2_mean,QF.5,NO2_std,QF.6,NO2_CF,QF.7,NO2_c_mean,QF.8,NO2_c_std,QF.9,Si(OH)4_mean,QF.10,Si(OH)4_std,QF.11,Si(OH)4_CF,QF.12,Si(OH)4_c_mean,QF.13,Si(OH)4_c_std,QF.14,PO4_mean,QF.15,PO4_std,QF.16,PO4_CF,QF.17,PO4_c_mean,QF.18,PO4_c_std,QF.19,NH4_mean,QF.20,NH4_std,QF.21,NH4_CF,QF.22,NH4_c_mean,QF.23,NH4_c_std,QF.24,TDN_mean,QF.25,TDN_std,QF.26,TDN_CF,QF.27,TDN_c_mean,QF.28,TDN_c_std,QF.29,TDP_mean,QF.30,TDP_std,QF.31,TDP_CF,QF.32,TDP_c_mean,QF.33,TDP_c_std,QF.34,Density_at_lab_temp,Density_Anomaly_at_lab_temp,Density_at_fix_temp,NO3+NO2_c_mean_umolkg,NO3+NO2_c_std_umolkg,NO2_c_mean_umolkg,NO2_c_std_umolkg,Si(OH)4_c_mean_umolkg,Si(OH)4_c_std_umolkg,PO4_c_mean_umolkg,PO4_c_std_umolkg,NH4_c_mean_umolkg,NH4_c_std_umolkg,TDN_c_mean_umolkg,TDN_c_std_umolkg,TDP_c_mean_umolkg,TDP_c_std_umolkg,C(O2)_umol/L_umolkg
34,PS138_19-1-N10,PS138_19-1_47,PS138_19-1,83.8683,33.208806,10,Aug 10 2023,-1.7919,-1.7893,47.855,47.339,-1.7909,-1.7883,34.364,34.3664,348.81,351.65,1.3315,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.581887,1.024581887,,,,,,,,,,,,,,,,
35,PS138_19-1-N11,PS138_19-1_47,PS138_19-1,83.8683,33.208806,11,Aug 10 2023,-1.791,-1.7821,47.833,47.317,-1.7901,-1.7812,34.3636,34.3648,349.23,352.54,1.3465,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.58158,1.02458158,,,,,,,,,,,,,,,,
36,PS138_19-1-N12,PS138_19-1_47,PS138_19-1,83.8683,33.208806,12,Aug 10 2023,-1.791,-1.7798,47.855,47.339,-1.79,-1.7789,34.3636,34.3657,349.1,352.74,1.382,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.58158,1.02458158,,,,,,,,,,,,,,,,
37,PS138_19-1-N13,PS138_19-1_47,PS138_19-1,83.8683,33.208806,13,Aug 10 2023,-1.7918,-1.7843,47.848,47.332,-1.7909,-1.7834,34.3638,34.3664,349.09,352.65,1.3121,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.581733,1.024581733,,,,,,,,,,,,,,,,
38,PS138_19-1-N14,PS138_19-1_47,PS138_19-1,83.8683,33.208806,14,Aug 10 2023,-1.791,-1.7887,47.843,47.327,-1.79,-1.7878,34.3637,34.3649,349.13,351.99,1.3034,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.581656,1.024581656,,,,,,,,,,,,,,,,
39,PS138_19-1-N15,PS138_19-1_47,PS138_19-1,83.8683,33.208806,15,Aug 10 2023,-1.7876,-1.7889,47.85,47.333,-1.7866,-1.788,34.3637,34.3646,349.11,352.36,1.3218,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.581656,1.024581656,,,,,,,,,,,,,,,,
40,PS138_19-1-N16,PS138_19-1_47,PS138_19-1,83.8683,33.208806,16,Aug 10 2023,-1.7855,-1.7882,47.84,47.324,-1.7846,-1.7873,34.3639,34.3664,348.91,352.26,1.3098,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.58181,1.02458181,,,,,,,,,,,,,,,,
41,PS138_19-1-N17,PS138_19-1_47,PS138_19-1,83.8683,33.208806,17,Aug 10 2023,-1.7908,-1.7884,47.841,47.324,-1.7899,-1.7875,34.3638,34.3652,349.18,352.83,1.3017,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.581733,1.024581733,,,,,,,,,,,,,,,,
42,PS138_19-1-N18,PS138_19-1_47,PS138_19-1,83.8683,33.208806,18,Aug 10 2023,-1.7913,-1.7884,47.843,47.326,-1.7903,-1.7875,34.3636,34.3649,349.33,352.79,1.3808,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.58158,1.02458158,,,,,,,,,,,,,,,,
43,PS138_19-1-N19,PS138_19-1_47,PS138_19-1,83.8683,33.208806,19,Aug 10 2023,-1.7901,-1.7904,47.842,47.325,-1.7892,-1.7895,34.364,34.3652,349.23,352.45,1.3034,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.581887,1.024581887,,,,,,,,,,,,,,,,
