asv	TDN_c_mean	NH4_c_mean	lat	NO2_c_mean	NO3.NO2_c_mean	lon	PO4_c_mean	TDP_c_mean	Si.OH.4_c_mean
asv521	0.1	-0.08	0.03	-0.19	-0.18	0.24	0.28	0.38	0.36
asv527	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv533	0.46	0.18	0.21	0.02	-0.16	0.06	0.31	0.39	0.25
asv536	0.29	0.14	0.09	-0.06	-0.13	0.1	0.16	0.23	0.13
asv540	0.44	0.2	0.21	0.1	-0.09	-0.03	0.24	0.3	0.16
asv545	0.24	-0.02	0.13	-0.05	-0.15	0.13	0.34	0.43	0.38
asv560	0.64	0.39	0.3	0.26	-0.05	-0.19	0.19	0.21	0
asv561	0.35	0.2	0.07	-0.15	-0.19	0.18	0.15	0.23	0.11
asv562	0.31	0.07	0.11	-0.13	-0.2	0.19	0.31	0.41	0.32
asv567	0.42	0.09	0.25	0.1	-0.12	0.01	0.4	0.48	0.38
asv590	0.65	0.4	0.31	0.28	-0.04	-0.21	0.18	0.2	-0.01
asv593	0.43	0.18	0.19	0.01	-0.15	0.06	0.28	0.36	0.22
asv595	-0.01	-0.04	-0.11	-0.35	-0.2	0.34	0.08	0.17	0.16
asv610	0.41	0.16	0.17	-0.04	-0.18	0.11	0.29	0.39	0.26
asv627	0.56	0.26	0.26	0.11	-0.13	-0.03	0.29	0.36	0.19
asv630	0.41	0.17	0.16	-0.06	-0.18	0.12	0.28	0.37	0.24
asv638	0.46	0.23	0.17	-0.01	-0.16	0.07	0.22	0.3	0.15
asv639	0.52	0.26	0.22	0.04	-0.15	0.03	0.26	0.34	0.17
asv648	0.42	0.17	0.2	0.07	-0.12	0.01	0.27	0.34	0.21
asv650	0.6	0.35	0.27	0.19	-0.07	-0.13	0.2	0.23	0.04
asv656	0.64	0.44	0.31	0.32	0	-0.27	0.11	0.11	-0.11
asv657	0.12	-0.16	0.15	0.03	-0.08	0.07	0.4	0.49	0.49
asv658	0.66	0.4	0.33	0.31	-0.02	-0.24	0.19	0.2	-0.02
asv661	0.09	-0.08	0.03	-0.18	-0.17	0.23	0.27	0.37	0.35
asv676	0.67	0.41	0.35	0.37	0.01	-0.29	0.17	0.17	-0.04
asv683	0.49	0.33	0.15	-0.01	-0.14	0.04	0.11	0.17	-0.01
asv688	0.44	0.11	0.24	0.08	-0.13	0.02	0.38	0.47	0.36
asv691	0.53	0.35	0.2	0.12	-0.09	-0.07	0.11	0.15	-0.04
asv703	0.46	0.2	0.2	0.03	-0.15	0.05	0.27	0.35	0.21
asv704	0.35	0.13	0.11	-0.12	-0.2	0.18	0.26	0.36	0.25
asv705	0.04	0	-0.08	-0.34	-0.22	0.34	0.1	0.2	0.17
asv729	0.42	0.17	0.19	0.04	-0.13	0.03	0.27	0.34	0.21
asv736	0.42	0.14	0.2	0.02	-0.15	0.06	0.33	0.42	0.3
asv750	0.63	0.35	0.3	0.22	-0.08	-0.14	0.25	0.29	0.09
asv758	0.56	0.32	0.23	0.09	-0.13	-0.03	0.22	0.28	0.09
asv763	0.01	-0.04	-0.09	-0.37	-0.23	0.36	0.12	0.22	0.2
asv765	0.27	0.18	0.02	-0.21	-0.2	0.21	0.09	0.17	0.06
asv766	0.43	0.12	0.22	0.03	-0.16	0.07	0.37	0.46	0.34
asv784	0.07	-0.12	0.03	-0.21	-0.19	0.27	0.31	0.42	0.42
asv787	0.51	0.36	0.22	0.2	-0.03	-0.16	0.08	0.08	-0.1
asv803	0.11	-0.16	0.14	0.02	-0.08	0.08	0.4	0.48	0.49
asv807	0.61	0.27	0.33	0.24	-0.08	-0.14	0.34	0.4	0.22
asv813	0.48	0.3	0.18	0.08	-0.1	-0.03	0.13	0.17	0
asv820	0.66	0.41	0.34	0.38	0.02	-0.31	0.16	0.15	-0.06
asv824	0.4	0.2	0.15	-0.03	-0.15	0.08	0.21	0.29	0.15
asv843	0.35	0.16	0.13	-0.02	-0.13	0.07	0.19	0.26	0.15
asv845	0.39	0.22	0.13	-0.03	-0.14	0.07	0.15	0.21	0.08
asv852	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv854	0.63	0.36	0.3	0.21	-0.08	-0.13	0.24	0.28	0.07
asv857	0.44	0.16	0.2	0.01	-0.16	0.07	0.32	0.41	0.27
asv876	0.31	0.11	0.2	0.17	-0.02	-0.1	0.22	0.25	0.16
asv878	0.63	0.37	0.3	0.25	-0.05	-0.17	0.21	0.24	0.03
asv881	0.49	0.31	0.18	0.06	-0.11	-0.02	0.13	0.17	0
asv896	0.37	0.18	0.12	-0.09	-0.18	0.14	0.21	0.3	0.17
asv900	0.49	0.23	0.23	0.1	-0.11	-0.02	0.26	0.32	0.17
asv903	0.11	-0.15	0.14	0.03	-0.08	0.07	0.38	0.45	0.46
asv923	0.44	0.16	0.23	0.08	-0.12	0.01	0.32	0.4	0.27
asv927	0.27	0.02	0.14	-0.05	-0.15	0.12	0.33	0.42	0.35
asv930	0.58	0.32	0.26	0.13	-0.12	-0.05	0.24	0.3	0.11
asv947	0.39	0.15	0.19	0.06	-0.11	0.01	0.26	0.33	0.21
asv961	0.19	-0.01	0.05	-0.21	-0.21	0.26	0.28	0.39	0.34
asv963	0	0	-0.12	-0.37	-0.21	0.35	0.05	0.13	0.11
asv965	0.65	0.36	0.34	0.31	-0.03	-0.22	0.25	0.28	0.07
asv966	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv972	0.55	0.23	0.3	0.19	-0.09	-0.09	0.33	0.39	0.23
asv982	0.57	0.33	0.25	0.13	-0.11	-0.06	0.21	0.27	0.08
asv983	0.48	0.22	0.2	0.02	-0.16	0.06	0.28	0.36	0.21
asv992	0.51	0.25	0.22	0.05	-0.14	0.02	0.26	0.33	0.17
asv999	0.34	0.09	0.21	0.12	-0.07	-0.04	0.29	0.34	0.25
asv1000	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv1005	0.46	0.25	0.24	0.22	-0.02	-0.16	0.18	0.2	0.05
